"","participant","Acc","Trial","TrialIndex","RT","MDT.ability","MPT.ability","Monolingual","gmsi","pairType","musician"
"1","10",0,15,11,3200.23,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"consMP","0"
"2","10",1,16,16,3866.63,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"3","10",1,14,17,2834.395,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"vowelMP","0"
"4","10",0,0,7,0,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"consMP","0"
"5","10",1,1,14,2702.06,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"consMP","0"
"6","10",1,2,19,2725.39,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"7","10",1,17,8,1845.465,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"vowelMP","0"
"8","10",1,18,1,1990.17,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"vowelMP","0"
"9","10",1,19,0,3949.695,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"10","10",0,20,23,4568.34,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"11","10",1,21,2,3185.52,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"12","10",1,22,4,2452.11,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"consMP","0"
"13","10",0,23,18,3669.78,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"14","10",1,10,5,3512.945,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"15","10",1,11,9,4630.64,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"vowelMP","0"
"16","10",1,12,20,2900.515,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"17","10",0,13,21,2448.205,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"consMP","0"
"18","10",0,5,12,0,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"19","10",1,6,6,3152.89,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"20","10",0,3,13,3282.04,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"21","10",0,4,15,4227.825,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"22","10",1,9,3,3063.295,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"23","10",1,7,10,5001.305,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"nonMP","0"
"24","10",1,8,22,3904.865,0.453430087841928,-0.353127480803585,"0",-0.827860610264842,"vowelMP","0"
"25","11",1,6,11,3387.4,1.13940397246062,0.660509497884604,"0",0.319613528371349,"consMP","1"
"26","11",0,7,16,2775.175,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"27","11",0,0,21,0,1.13940397246062,0.660509497884604,"0",0.319613528371349,"consMP","1"
"28","11",1,1,15,2451.64,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"29","11",1,2,18,2647.65,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"30","11",1,3,7,854.02,1.13940397246062,0.660509497884604,"0",0.319613528371349,"consMP","1"
"31","11",1,4,20,3608.005,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"32","11",1,5,22,2467.09,1.13940397246062,0.660509497884604,"0",0.319613528371349,"vowelMP","1"
"33","11",1,18,0,1436.315,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"34","11",1,19,4,2253.655,1.13940397246062,0.660509497884604,"0",0.319613528371349,"consMP","1"
"35","11",0,20,1,515.57,1.13940397246062,0.660509497884604,"0",0.319613528371349,"vowelMP","1"
"36","11",1,8,10,1186.52,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"37","11",1,9,5,702.03,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"38","11",1,10,19,2780.065,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"39","11",1,11,12,854.505,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"40","11",0,12,8,2123.39,1.13940397246062,0.660509497884604,"0",0.319613528371349,"vowelMP","1"
"41","11",0,13,2,1302.425,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"42","11",0,14,17,2566.8,1.13940397246062,0.660509497884604,"0",0.319613528371349,"vowelMP","1"
"43","11",1,15,3,659.915,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"44","11",1,16,23,2113.155,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"45","11",1,17,6,2069.255,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"46","11",1,22,13,1073.735,1.13940397246062,0.660509497884604,"0",0.319613528371349,"nonMP","1"
"47","11",1,23,14,1938.92,1.13940397246062,0.660509497884604,"0",0.319613528371349,"consMP","1"
"48","11",1,21,9,1953.92,1.13940397246062,0.660509497884604,"0",0.319613528371349,"vowelMP","1"
"49","13",0,0,3,0,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"50","13",0,1,13,1281.565,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"51","13",0,2,18,3034.575,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"52","13",1,3,4,5135.31,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"consMP","0"
"53","13",1,4,20,5202.68,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"54","13",0,5,0,5377.49,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"55","13",1,6,9,3446.62,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"vowelMP","0"
"56","13",1,7,7,5098.155,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"consMP","0"
"57","13",1,8,11,5079.25,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"consMP","0"
"58","13",1,9,6,4982.62,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"59","13",1,10,22,5071.74,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"vowelMP","0"
"60","13",0,11,21,5058.48,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"consMP","0"
"61","13",1,12,12,3216.12,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"62","13",0,13,16,5275.87,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"63","13",1,14,23,5201.445,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"64","13",1,15,2,5138.74,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"65","13",1,16,10,5211.125,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"66","13",0,17,8,5387.255,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"vowelMP","0"
"67","13",1,18,19,5262.905,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"68","13",1,19,15,5152.23,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"69","13",0,20,14,0,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"consMP","0"
"70","13",1,21,1,5156.555,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"vowelMP","0"
"71","13",1,22,5,5011.44,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"nonMP","0"
"72","13",0,23,17,5141.465,-0.55799102997007,-0.129440977076968,"1",-0.436040172681752,"vowelMP","0"
"73","14",0,0,16,1583.415,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"74","14",1,1,22,1154.815,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"vowelMP","1"
"75","14",1,2,19,1118.425,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"76","14",0,3,4,1017.12,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"consMP","1"
"77","14",0,4,21,1398.12,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"consMP","1"
"78","14",0,5,11,1000.41,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"consMP","1"
"79","14",1,6,1,1222.3,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"vowelMP","1"
"80","14",0,7,10,1116.955,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"81","14",1,8,17,1169.2,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"vowelMP","1"
"82","14",1,9,7,1600.62,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"consMP","1"
"83","14",1,10,8,1451.48,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"vowelMP","1"
"84","14",1,11,3,1201.92,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"85","14",0,12,18,866.97,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"86","14",1,13,6,884.675,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"87","14",0,14,14,1533.59,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"consMP","1"
"88","14",1,15,23,1151.675,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"89","14",1,16,2,982.7,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"90","14",0,17,20,886.72,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"91","14",0,18,5,1418.62,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"92","14",1,19,13,918.23,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"93","14",1,20,12,1248.575,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"94","14",1,21,15,1024.485,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"95","14",0,22,0,1403.01,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"nonMP","1"
"96","14",0,23,9,1450.33,-1.24455635770579,-0.295262012050541,"1",0.767408314180594,"vowelMP","1"
"97","15",0,0,1,1653.78,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"vowelMP","0"
"98","15",1,1,17,1628.625,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"vowelMP","0"
"99","15",0,2,4,1088.205,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"consMP","0"
"100","15",1,3,22,1003.105,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"vowelMP","0"
"101","15",1,4,2,887.735,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"102","15",0,5,11,1074.775,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"consMP","0"
"103","15",1,6,16,1301.345,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"104","15",0,7,3,1200.995,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"105","15",1,8,13,542.735,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"106","15",0,9,23,1050.035,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"107","15",0,10,6,1299.825,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"108","15",1,11,8,635,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"vowelMP","0"
"109","15",1,12,21,788.2,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"consMP","0"
"110","15",0,13,15,956.555,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"111","15",1,14,12,339.67,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"112","15",1,15,0,1061.47,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"113","15",1,16,10,747.325,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"114","15",1,17,7,420.14,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"consMP","0"
"115","15",0,18,19,569.055,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"116","15",0,19,14,874.14,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"consMP","0"
"117","15",0,20,18,468.655,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"118","15",0,21,9,541.09,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"vowelMP","0"
"119","15",0,22,5,715.85,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"120","15",0,23,20,701.695,-0.144447565017748,-2.09280713414309,"1",-0.827860610264842,"nonMP","0"
"121","16",1,0,21,1467.695,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"consMP","1"
"122","16",0,1,12,5252.79,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"123","16",1,2,3,2517.28,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"124","16",0,3,11,0,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"consMP","1"
"125","16",1,4,0,2149.185,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"126","16",1,5,5,5433.76,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"127","16",0,6,22,4466.87,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"vowelMP","1"
"128","16",0,7,1,0,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"vowelMP","1"
"129","16",1,8,6,4525.28,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"130","16",1,9,23,3032.695,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"131","16",1,10,9,2584.675,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"vowelMP","1"
"132","16",0,11,13,3115.65,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"133","16",1,12,4,2068.255,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"consMP","1"
"134","16",0,13,7,0,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"consMP","1"
"135","16",1,14,2,4802.055,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"136","16",0,15,18,0,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"137","16",0,16,8,0,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"vowelMP","1"
"138","16",0,17,16,0,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"139","16",1,18,19,3700.02,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"140","16",0,19,14,0,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"consMP","1"
"141","16",1,20,15,2950.64,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"142","16",1,21,20,2798.965,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"143","16",0,22,10,984.58,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"nonMP","1"
"144","16",0,23,17,1700.295,-0.0893097540219325,-0.242838072269245,"1",0.543510921275971,"vowelMP","1"
"145","17",1,0,18,5441.06,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"146","17",1,1,2,2771.51,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"147","17",1,2,0,1356.41,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"148","17",1,3,7,4337.93,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"consMP","1"
"149","17",0,4,17,2112.625,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"vowelMP","1"
"150","17",1,5,11,3817.295,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"consMP","1"
"151","17",0,6,8,4667.65,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"vowelMP","1"
"152","17",1,7,12,4301.52,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"153","17",0,8,9,4073.185,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"vowelMP","1"
"154","17",0,9,23,4332.875,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"155","17",1,10,21,2419.97,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"consMP","1"
"156","17",0,11,10,4017.675,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"157","17",1,12,13,2049.075,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"158","17",1,13,6,2286.37,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"159","17",0,14,5,3602.99,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"160","17",1,15,14,2450.3,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"consMP","1"
"161","17",1,16,22,2840.74,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"vowelMP","1"
"162","17",1,17,4,5388.815,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"consMP","1"
"163","17",1,18,20,2131.625,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"164","17",1,19,1,920.395,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"vowelMP","1"
"165","17",1,20,15,2883.785,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"166","17",1,21,16,3702.79,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"167","17",1,22,19,4705.355,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"168","17",1,23,3,4984.405,2.00350926063358,0.912229102735026,"1",0.0677289613536484,"nonMP","1"
"169","18",0,0,1,4894.38,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"vowelMP","0"
"170","18",0,1,18,1658.76,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"171","18",0,2,20,0,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"172","18",1,3,15,2256.945,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"173","18",0,4,4,3663.205,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"consMP","0"
"174","18",1,5,7,5108.06,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"consMP","0"
"175","18",1,6,14,2891.38,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"consMP","0"
"176","18",1,7,16,2213.675,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"177","18",1,8,12,3384.725,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"178","18",0,9,5,5317.32,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"179","18",1,10,0,2439.9,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"180","18",0,11,6,0,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"181","18",1,12,23,2277.54,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"182","18",0,13,2,2494.145,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"nonMP","0"
"183","18",1,14,9,3240.39,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"vowelMP","0"
"184","18",0,15,11,2926.99,-1.58293037477772,-1.16312949712772,"1",-1.10773235139562,"consMP","0"
